datetime,temp,on_sec(s),power(%),P,I,D,PID
20230914 21:13:30,60.312,0,0,-0.3119999999999976,-0.6324611187569706,-0.024799999999999045,0.0
20230914 21:13:35,60.312,0,0,-0.3119999999999976,-0.6769405237912948,-0.024799999999999045,0.0
20230914 21:13:41,60.25,0,0,-0.25,-0.7076298932384307,0.0,0.0
20230914 21:13:46,60.25,0,0,-0.25,-0.7248398576512415,0.024799999999999045,0.0
20230914 21:13:52,60.25,0,0,-0.25,-0.7076298932384307,0.024799999999999045,0.0
20230914 21:13:59,60.25,0,0,-0.25,-0.6904199288256201,0.012399999999999523,0.0
20230914 21:14:04,60.25,0,0,-0.25,-0.6594199288256213,0.0,0.0
20230914 21:14:09,60.25,0,0,-0.25,-0.6422099644128106,0.0,0.0
20230914 21:14:14,60.25,0,0,-0.25,-0.625,0.0,0.0
20230914 21:14:20,60.25,0,0,-0.25,-0.625,0.0,0.0
20230914 21:14:26,60.25,0,0,-0.25,-0.625,0.0,0.0
20230914 21:14:31,60.25,0,0,-0.25,-0.625,0.0,0.0
20230914 21:14:37,60.187,0,0,-0.25,-0.625,0.0,0.0
